Isolate,Trial,rep,0,0.01,0.1,1,5,10,20,100
VB-1,13,2,49,,48,35,19,3,0,
FV-LS1-ss1,13,1,50,,48,42,17,3,1,
FV-LS1-ss1,13,2,50,,50,37,13,7,2,
10FV680,13,1,50,,46,39,20,4,0,
10FV680,13,2,50,,46,38,15,3,0,
LL0094,13,1,49,,50,29,8,1,1,
LL0094,13,2,49,,47,32,10,3,0,
LL0039,13,1,50,,47,33,15,4,0,
LL0039,13,2,50,,48,35,10,5,0,
13FV206,13,1,49.5,,49,29,16,2,0,
13FV206,13,2,49.5,,49,28,10,3,0,
13Clark3#1,13,1,50,,48,28,8,2,1,
13Clark3#1,13,2,50,,47,27,9,4,0,
13Pike1#2,13,1,49.5,,49,35,13,6,0,
13Pike1#2,13,2,49.5,,50,35,11,4,0,
LE-11-1,13,1,49,,49,36,27,6,1,
LE-11-1,13,2,49,,50,40,22,3,1,
FAYSDS13,13,1,49.5,,48,29,7,1,1,
FAYSDS13,13,2,49.5,,47,24,11,3,1,
13FV188,13,1,49.5,,47,35,14,4,0,
13FV188,13,2,49.5,,48,31,15,5,0,
10FV680,14,1,49.5,,47,37,17,6,1,
10FV680,14,2,49.5,,47,38,13,6,0,
LL0036,14,1,49.5,,46,37,13,6,2,
LL0036,14,2,49.5,,48,40,13,6,2,
LL0039,14,1,49,,49,39,16,5,3,
LL0039,14,2,49,,49,37,15,6,2,
LL0059,14,1,50,,48,34,11,5,1,
LL0059,14,2,50,,48,31,10,7,1,
LL0094,14,1,50,,50,32,15,8,1,
LL0094,14,2,50,,46,40,17,11,1,
AR171,14,1,50,,49,39,18,7,2,
AR171,14,2,50,,49,38,17,4,3,
FV-LS1-ss1,14,1,49,,50,36,16,10,6,
FV-LS1-ss1,14,2,49,,47,39,14,12,3,
LE11-1,14,1,49.5,,46,38,19,8,4,
LE11-1,14,2,49.5,,47,40,17,13,1,
VB-1,14,1,49.5,,45,36,19,13,1,
VB-1,14,2,49.5,,48,30,20,11,3,
13FV188,14,1,49,,49,37,25,12,3,
13FV188,14,2,49,,49,40,27,10,3,
