;EC50;StdErr;Lower;Upper;pvalue;Set;Strain
MITU_C2_6;2,60320537061293;0,310355144574615;1,9484132519287;3,25799748929716;0,0000001904566298218;6;MITU_C2
KSSH_C3_7;5,03039027014091;1,99267280295567;0,82621814894025;9,23456239134156;0,0218265392017459;7;KSSH_C3
KSSH_E4_7;3,59507910870376;0,995403672085152;1,49496093510602;5,6951972823015;0,00215361092958536;7;KSSH_E4
MIBer_F6_7;3,24017644301457;0,591732484895384;1,99173002847227;4,48862285755687;0,0000410137435519686;7;MIBer_F6
MISA_A1_7;4,46530238946358;1,11578589461773;2,11119992747241;6,81940485145475;0,000923327245092356;7;MISA_A1
Mo1b_7;4,58691701130471;0,486805923982918;3,60142993983592;5,5724040827735;0,0000000000173678975486587;7;Mo1b
Mont1_7;4,50567638967808;1,39397302236328;1,56465039201665;7,44670238733951;0,00489551564706916;7;Mont1
ARLE_C1_8;4,22637247552469;1,15335261337225;1,79301116509716;6,65973378595222;0,00192060947296823;8;ARLE_C1
ARLE_G4_8;3,69913922048834;1,02282838691797;1,54115995631868;5,85711848465801;0,00213083088378177;8;ARLE_G4
Ber1-5_8;2,45297017766351;0,721803317193456;0,930098294916998;3,97584206041003;0,00341966320907263;8;Ber1-5
DB_P30R5_8;3,140420531679;0,803570477031501;1,44503502135099;4,83580604200701;0,0011316751770196;8;DB_P30R5
MIBer_A6_8;5,03987774774213;2,22524737363462;0,345016174315135;9,73473932116913;0,0368793108776431;8;MIBer_A6
MIBer_B1_8;3,0989022102322;1,10178359969095;0,774342008202964;5,42346241226143;0,0119826584021859;8;MIBer_B1
MIBer_B2_8;4,63031276820591;1,82878055059326;0,77192307412566;8,48870246228616;0,0214944056205665;8;MIBer_B2
MIBer_E4_8;7,70148246476682;3,00055939093982;1,37085551954794;14,0321094099857;0,0200103817841458;8;MIBer_E4
MISTJ_E4a_8;2,26837243842229;0,326540575485514;1,5794320454683;2,95731283137629;0,00000235855073138406;8;MISTJ_E4a
MITU_C1_8;4,92848233203719;1,35750536309407;2,06439636998904;7,79256829408534;0,00206720461901398;8;MITU_C1
MITU_C3a_8;2,92234743686015;0,993754667312279;0,82570835922014;5,01898651450016;0,00913800279188038;8;MITU_C3a
MIVB_D5_8;2,05085004485527;0,38409505324392;1,24048031815253;2,86121977155801;0,0000542061085453844;8;MIVB_D5
Mo5a_8;2,67953473242338;0,370238420847095;1,89839994460777;3,46066952023899;0,00000138867002232059;8;Mo5a
CL-11-1_9;3,44708037213252;0,642872822947014;2,09073727571323;4,80342346855181;0,000051752959764806;9;CL-11-1
DB_P28R13_9;1,69194160699246;0,158277187805232;1,35800593054533;2,02587728343959;0,00000000577432453582153;9;DB_P28R13
INMO_A2_9;3,41353536777005;1,44125173469527;0,37276000633069;6,45431072920942;0,0299760093929376;9;INMO_A2
INMO-G3_9;3,88117608102968;0,497183207019438;2,83221120582294;4,93014095623642;0,000000508735416472991;9;INMO-G3
MISA-B6_9;3,66421727851432;1,62686006702118;0,231842566158079;7,09659199087057;0,0378083809548859;9;MISA-B6
MISTJ_A3_9;2,88287730250302;0,378286068881736;2,084763461499;3,68099114350703;0,000000702369841808957;9;MISTJ_A3
MISTJ-D6_9;9,27763589136812;2,16169079823008;4,71686697080337;13,8384048119329;0,000493567521020446;9;MISTJ-D6
MITU-A4_9;3,4565242561274;0,517935469305986;2,36377593467322;4,54927257758158;0,00000392002564186523;9;MITU-A4
MITU-A5_9;3,41215885344565;0,418039395905652;2,53017282381587;4,29414488307542;0,000000277372556048654;9;MITU-A5
MIVB-A7_9;3,65968287388316;0,406735387100865;2,80154621812169;4,51781952964463;0,0000000711195831187315;9;MIVB-A7
Mo3a_9;4,38479156836038;0,923257058551801;2,43688944388323;6,33269369283754;0,000185760387523795;9;Mo3a
Mo4c_2_9;3,18512191971476;0,472255363378197;2,1887501973441;4,18149364208541;0,0000034325810846837;9;Mo4c_2
VB-1_9;3,51787401960422;0,515485091915797;2,43029554253943;4,60545249666901;0,00000295749257552406;9;VB-1
